"Identyfikator instytucji na Fedrowaniu (FEDR_id)","Nazwa instytucji na Fedrowaniu (FEDR_name)","Nazwa systemu","Funkcja systemu","Uwagi dodatkowe"
"2041","STALOWA WOLA","Microsoft CoPilot","analiza dokumentów, wsparcie w opracowywaniu dokumentów","licencje wewnętrzne uniezależniające składanie zapytań z przekazywaniem danych do sieci internet – dane nie są przekazywane do nauki modelu"
"2041","STALOWA WOLA","monitoring miejski ","automatyczna analiza sytuacji nietypowych z informowaniem operatorów o wykrytych przypadkach do dalszej analizy",
"2041","STALOWA WOLA","Canva","wsparcie w opracowywaniu obrazów","wykorzystywane przez Wydział Promocji, Kultury i Sportu"
"2052","TUCHÓW","ChatGPT","przygotowywanie listów gratulacyjnych, przemówień i innych informacji tekstowych, a także tworzenie grafiki do mediów społecznościowych",
"2060","Ostrołęka","Axxon One","do rozpoznawania tablic rejestracyjnych z kamer zlokalizowanych na terenie miasta ","Funkcjonalność ta jest dostępna dla Straży Miejskiej Ostrołęki i Komendy Miejskiej Policji"
"2064","PUŁAWY","eNapisy.pl","rozpoznawanie mowy na potrzeby transkrypcji sesji i komisji Rady Miasta","MWC sp. z o.o"
"2071","USTKA","eNapisy.pl","do elektronicznej transkrypcji nagrań audio/wideo. System ten wydobywa tekst z nagrań posiedzeń Rady Miasta który jest następnie wykorzystywany do sporządzania protokołów oraz plików tekstowych publikowanych w Biuletynie Informacji Publicznej Urzędu Miasta",
"2082","ZABŁUDÓW","POSIEDZENIA.PL","do transkrypcji nagrań sesji Rady Miejskiej, która działa w oparciu o sztuczną inteligencję","GK Pro sp. z o.o."
"2100","RAWICZ","System monitoringu miejskiego","posiadający inteligentną analizę obrazu (rozpoznawanie tablic rejestracyjnych oraz rozpoznawanie obiektów: człowiek, rowerzysta, pieszy, pojazd)",
"2100","RAWICZ","Whisper AI","przetwarzający mowę na tekst wykorzystywany do wykonywania transkrypcji Sesji Rady Miejskiej",
"2140","ORNETA","eSesja","automatycznie generuje napisy na nagraniach z obrad Sesji Rady Miejskiej",
"2145","PRASZKA","posiedzenia.pl","do automatycznej transkrypcji (tworzenia napisów) nagrań posiedzeń Rady Miejskiej",
"2160","Kraków","monitoring Zakrzówka","automatycznie zlicza ludzi na kąpielisku Zakrzówek na podstawie strumienia wideo",
"2160","Kraków","Copilot 365 ",,
"2160","Kraków","Sotrender","do zautomatyzowanej analizy danych z mediów społecznościowych",
"2160","Kraków","Inteligentny System Monitoringu Strefy Ograniczonego Ruchu","analiza wjazdów do strefy na podstawie odczytywania tablic rejestracyjnych na strumieniu video;",
"2160","Kraków","Automatyczne odczytywanie informacji z dokumentów (OCR)"," przyspieszające gromadzenie danych w bazach danych.",
"2193","DZIADOWA KŁODA","System transkrypcji do emisji Sesji Rady Gminy na żywo, który w trybie offline generuje po zakończeniu transmisji napisy","firmy MWC Sp. z o.o.",
"2193","DZIADOWA KŁODA","Wewnętrzny system UG firmy RADIX","generuje raporty księgowe i podatkowe",
"2259","GRODZISK MAZOWIECKI","system do rekrutacji pracowników","umożliwia automatyczny system oceny lub klasyfikacji kandydatów do pracy",
"2283","KOWALEWO POMORSKIE",,"narzędzie do rozpoznawania mowy i przekształcania na tekst",
"2296","ŁOPIENNIK GÓRNY","POSIEDZENIA.PL","do rozpoznawania dźwięku na tekst (automatyczna transkrypcja napisów sesji Rady Gminydo rozpoznawania dźwięku na tekst (automatyczna transkrypcja napisów sesji Rady Gminy)",
"2305","CHOJNICE","beey.io"," do transkrypcji plików video",
"2305","CHOJNICE","Canva","do projektowania plików graficznych",
"2305","CHOJNICE","WPF Asystent"," do przygotowania dokumentów związanych z Wieloletnią Prognozą Finansową",
"2307","MIĘDZYCHÓD","Lider",". Agregacja danych z wykorzystywanych systemów dziedzinowych oraz ich analiza i prezentacja za pomocą przeglądarki internetowej."," firmy Rekord"
"2317","NIECHLÓW","Posiedzenia.pl","do generowania transkrypcji transmisji sesji rady gminy",
"2317","NIECHLÓW",,"funkcjonuje również wbudowane w rejestrator narzędzie do analizy nagrań wideo z monitoringu","lecz nigdy nie zostało oficjalnie wykorzystane."
"2327","OSIECZNA","ChatGPT","do automatycznej transkrypcji dźwięku na tekst (???). Celem jest zwiększenie dostępności i ułatwienie opracowywania materiałów z obrad. Transkrypcja pozwala na wygenerowanie napisów oraz przygotowanie dokładniejszego zapisu przebiegu spotkania, który jest publicznie udostępniany.",
"2339","PSZÓW",,"na zlecenie urzędu dokonuje transkrypcji nagrania obrad sesji Rady Miejskiej","Firma AZTV Iwona Kądziołka"
"2345","RAKÓW","Whisper","automatycznie przetwarza dźwięk na tekst z publicznie dostępnych nagrań audio-wideo wytwarzanych przez Urząd","Wygenerowany przez system tekst jest sprawdzany i korygowany przez pracownika Urzędu."
"2346","ROKIETNICA","AXIS","do analizy obrazu z kamer przemysłowych w kluczowych miejscach publicznych. Funkcje systemu obejmują rozpoznawanie numerów rejestracyjnych oraz rozpoznawanie wybranych zdarzeń i zachowań, takich jak kolizje, zatrzymanie w strefie ruchu dłużej niż 30 sekund (korek lub kolizja) oraz leżący człowiek dłużej niż 15 sekund. "," Dostęp do danych z systemu posiada Policja na podstawie umowy. Po pozytywnym przejściu testów planowane jest automatyczne przekazywanie powiadomień na numer 112. Żaden z pracowników urzędu nie ma dostępu do zapisu z kamer ani wyników analiz; Urząd Gminy ma dostęp do raportu zapytań do systemu w celu weryfikacji prawidłowości wykorzystania. "
"2366","ISTEBNA",,,"odmówiono dokładnej listy ze względów cyberbezpieczeństwa"
"2372","JASŁO",,"automatycznym przygotowaniu napisów do nagrań wideo z Sesji Rady Miejskiej ",
"2381","TRZEBINIA","eSesja","generowanie napisów do obrad z posiedzeń sesji Rady Miasta). ","Wykonanie napisów Urząd zleca."
"2432","LUBAWA","E-napisy","przygotowanie napisów do nagrań z sesji rady miasta","MWC sp. z o.o."
"2460","WOHYŃ","obradyonline.pl"," do transkrypcji nagrań sesji Rady Gminy",
"2478","WÓLKA",,"System wykorzystywany do publikacji nagrań z posiedzeń Rady Gminy, który automatycznie generuje transkrypcje wypowiedzi. ",
"2481","WRZEŚNIA","AxxonOne","system rozpoznawania tablic samochodowych ","AxxonSoft"
"2482","WSCHOWA","ChatGPT","automatycznie przetwarza dane z wykorzystaniem AI",
"2528","Sąd Rejonowy we Włocławku","Wirtualne Biuro Obsługi Klienta","Jedną z funkcji tego rozwiązania jest „Wirtualny Agent” dostępny na infolinii sądu, który automatycznie generuje informacje o statusie sprawy (tj. o przekazaniu sprawy, o tym czy sprawa jest dalej w toku, o dacie zakończenia sprawy, o wydaniu orzeczenia, o wpływie apelacji)"," firmy Intelix Sp. z o.o"
"2528","Sąd Rejonowy we Włocławku","Chatbot – „Wirtualny asystent”"," umożliwia interesantom sprawdzenie statusu sprawy, sprawdzenie wokandy, rezerwację wizyty w sądzie, zamawianie akt oraz pomoc w kontakcie z sądem, w tym ułatwia obsługę interesantów z niepełnosprawnościami słuchowymi. ","na stronie internetowej sądu "
"2538","Sąd Rejonowy w Tczewie",,"narzędzia informatyczne do anonimizacji tekstu lub transkrypcji mowy na pismo","Wykorzystywane narzędzia informatyczne do anonimizacji tekstu lub transkrypcji mowy na pismo, nie są własnością Sądu i nie jest znana podstawa informatyczna ich funkcjonowania."
"2541","Sąd Okręgowy w Katowicach","Wirtualny Agent","usługa automatycznie udzielanych informacji o stanie sprawy na podstawie sygnatury sprawy ",
"2541","Sąd Okręgowy w Katowicach","Wirtualny Asystent","Czatbot - komunikator uruchomiony na stronie internetowej Sądu",
"2541","Sąd Okręgowy w Katowicach","Newton Dictate 5","program do rozpoznawania mowy",
"2643","Sąd Rejonowy w Głubczycach","ABBY FineReader","wyłącznie do rozpoznawania tekstu",
"2650","Sąd Rejonowy w Strzelcach Opolskich","AIMON","System ten jest systemem informacji prawnej i zgodnie z przedstawioną przez producenta specyfikacją funkcjonalną jest systemem sztucznej inteligencji niskiego ryzyka. Jest dostępny dla wszystkich użytkowników o różnym stopniu wiedzy. Używa rozwiązań uczenia maszynowego i sieci neuronowych służących analizie tekstu (w celu rozpoznania, przetworzenia i oznaczenia tekstu na podstawie wytworzonych wiązań), generowaniu treści (w celu kategoryzacji, przetwarzania, segregowania, personalizacji i wyświetlania określonych treści dla określonych kontekstów) oraz optymalizacji procesów i automatyzacji przepływu pracy (w celu przewidywania wyników lub sposobów optymalizacji i automatyzacji przepływów pracy). AIMON nie przetwarza danych wrażliwych. Algorytmy zastosowane w systemie pozwalają na przetwarzanie informacji o zachowaniach użytkowników w celu podpowiadania im najbardziej interesujących informacji. W tym celu może przetwarzać następujące dane: wykonywany zawód, obszar merytoryczny praktyki zawodowej, otwierane dokumenty, dokumenty i przepisy opatrzone szczególnymi funkcjonalnościami wskazującymi na wagę danej treści (jak np. polubienie czy komentarz), czas poświęcony na zapoznanie się z określoną treścią. System jest w równym stopniu dostępny dla wszystkich potencjalnych użytkowników. Nie wpływa na interes ekonomiczny użytkownika końcowego, jego zdrowie, dostęp lub mobilność, wydawanie licencji i pozwoleń lub w inny sposób nie wpływa na jego życie. AIMON jest wyjaśnialny i przejrzysty, wiadome jest, jak i dlaczego podjął określoną decyzję lub zachował się w określony sposób. ",
"2684","Sąd Rejonowy w Przeworsku","ABBYY FineReader","rozpoznawanie tekstu",
"2684","Sąd Rejonowy w Przeworsku","Office 365","rozpoznawanie mowy",
"2702","Sąd Rejonowy w Grójcu","Wirtualne Biuro Obsługi Interesanta","zawiera wirtualnego asystenta na stronie internetowej w postaci chatbota oraz wirtualnego agenta z możliwością sprawdzenia statusu sprawy podczas połączenia telefonicznego. Funkcje Wirtualnego Asystenta (CzatBot na stronie sądu): - Sprawdzanie statusu sprawy (wprowadzanie sygnatury sprawy) - Sprawdzanie wokandy - Rezerwacja wizyty w sądzie - Zamawianie akt - Pomoc w kontakcie z sądem Funkcje Wirtualnego Agenta (integracja z systemami SAWA-Currenda: I Wydziały Cywilnego, II Wydziału Karnego oraz III Wydziału Rodzinnego i Nieletnich): - Możliwość odpytywania systemu za pośrednictwem telefonu i jego klawiatury o aktualny status - Usługa działa 24 godziny na dobę i nie ma ograniczeń co do ilości wprowadzanych sygnatur w trakcie jednego połączenia. System jest przygotowany na okoliczność jednoczesnego korzystania z tej funkcji przez wiele osób jednocześnie. - Obsługa spraw związanych z przekazywaniem informacji o statusach bez angażowania pracowników sądu.",
"2747","Sąd Rejonowy w Świebodzinie","Wirtualne Biuro Obsługi Interesanta","wykorzystuje wirtualnego asystenta w Wirtualnym Biurze Obsługi Interesanta. Funkcjonalność asystenta dostępna jest z poziomu okna czatu na stronie internetowej sądu, który umożliwia obsługę następujących zagadnień bez zaangażowania pracownika: automatyczne odpytywanie o status sprawy poprzez wprowadzenie sygnatury sprawy; sprawdzanie wokandy na podstawie wprowadzenia sygnatury sprawy; rezerwacja wizyty w sądzie; rezerwacja dokumentów celem ich przeglądania.",
"2763","Sąd Okręgowy w Słupsku","Wirtualny Asystent","na stronie internetowej sądu podający podstawowe informacje dot. sprawy – wykorzystywany przez strony postępowań;",
"2763","Sąd Okręgowy w Słupsku","ARM Automatyczne Rozpoznawanie Mowy","w wersji Desktop – wykorzystywana przez sędziów; ",
"2763","Sąd Okręgowy w Słupsku","Office 365","Funkcja Dyktowanie w pakiecie Office 365 – dla urzędników",
"2796","Sąd Rejonowy dla Wrocławia-Śródmieścia we Wrocławiu","Wirtualny asystent","automatycznie przetwarza dane wejściowe, pozwalając stronom na całodobowe dowiadywanie się o statusie sprawy",
"2848","Sąd Rejonowy Gdańsk-Południe w Gdańsku","Wirtualny Asystent","informuje o stanie spraw na podstawie danych zawartych w repertoriach wydziałów.",
"2856","Sąd Rejonowy Poznań-Nowe Miasto i Wilda w Poznaniu","VoiceLab ARMD","do rozpoznawania tekstu, mowy, obrazów, filmów",
"2856","Sąd Rejonowy Poznań-Nowe Miasto i Wilda w Poznaniu","Newton Dictate","do rozpoznawania tekstu, mowy, obrazów, filmów",
"2856","Sąd Rejonowy Poznań-Nowe Miasto i Wilda w Poznaniu","Wirtualne Biuro Obsługi"," moduł wirtualny asystent strony internetowej Sądu , pakiet jedna kolejka, moduł rezerwacji wizyt i akt.",
"2860","Sąd Rejonowy Szczecin-Centrum w Szczecinie","ABBYY FineReader","Rozpoznawanie tekstu.",
"2872","Sąd Rejonowy w Miastku","ARM Automatyczne Rozpoznawanie Mowy",,
"2872","Sąd Rejonowy w Miastku"," Office 365","dyktowanie",
"2986","Regionalna Dyrekcja Lasów Państwowych w Krośnie","ChatGPT","automatycznie przetwarza dane tekstowe w celu wspomagania decyzji",
"3093","Regionalna Dyrekcja Lasów Państwowych w Pile","system monitoringu wizyjnego z analityką obrazu","Analityka ta jest wykorzystywana wyłącznie do oznaczania obecności człowieka lub pojazdu na nagraniu, co pozwala na szybkie wyszukiwanie zdarzeń z udziałem ludzi i pojazdów. Zaznaczono, że analityka nie jest wykorzystywana do zliczania ludzi, generowania statystyk lub innych raportów",
"3350","Starostwo Powiatowe w Brzegu","systemy OCR","zaimplementowane w urządzeniach wielofunkcyjnych do rozpoznawania tekstu",
"3350","Starostwo Powiatowe w Brzegu",," zleca firmie zewnętrznej zadania konwersji mowy na napisy do nagrań sesji",
"3352","Starostwo Powiatowe w Brzozowie","DSSS","przetwarza mowę na tekst (transkrypcja).",
"3362","Starostwo Powiatowe w Ciechanowie","narzędzia do rozpoznawania mowy","narzędzia do rozpoznawania mowy (transkrypcja nagrań z sesji rady powiatu",
"3368","Starostwo Powiatowe w Dębicy","ChatGPT","tworzenie opisów alternatywnych do zdjęć zamieszczanych na stronie internetowej Starostwa, tworzenie grafik do artykułów, materiałów promocyjnych i informacyjnych, wsparcie w redagowaniu informacji medialnych i informacyjnych, przetwarzanie tekstu z plików jpg/pdf na tekst edytowalny, wsparcie w opracowywaniu scenariuszy do materiałów filmowych tworzonych przez wydział na potrzeby promocji","Wydział Kultury, Turystyki, Sportu i Promocji"
"3386","Starostwo Powiatowe w Gostyninie",,"Urząd korzysta z pomocy firmy zewnętrznej, która świadczy usługę automatycznej transkrypcji Sesji Rady Powiatu (automatyczne generowanie tekstu z mowy nagrania)",
"3407","Starostwo Powiatowe w Kaliszu","Youtube","napisy do publikowanych zapisów wideo z obrad sesji Rady Powiatu Kaliskiego generowane są z wykorzystywaniem dostępnej w serwisie Youtube technologi rozpoznawania mowy do automatycznego generowania napisów do filmów.",
"3419","Starostwo Powiatowe w Kolbuszowej","System informatyczny do transkrypcji audio",,
"3423","Starostwo Powiatowe w Końskich","eSesja.tv","generowanie ""podsumowania przebiegu posiedzenia"" z wykorzystaniem sztucznej inteligencji.",
"3427","Starostwo Powiatowe w Kościerzynie","VoiceLab","do zamiany dźwięku na tekst. Służy do automatycznego tworzenia napisów do nagrań video z sesji rady powiatu. ",
"3431","Starostwo Powiatowe w Kraśniku",,"przygotowywanie transkrypcji do zapisów wideo z obrad sesji Rady Powiatu, gdzie wykorzystywany jest system automatycznego generowania napisów.","MWC Sp. z o.o. Kowalewicka 12"
"3443","Starostwo Powiatowe w Lęborku","OCR","narzędzia do rozpoznawania tekstu, oprogramowanie OCR skanerów firm HP, Epson, Kyocera, Fujitsu, Brather, Canon",
"3445","Starostwo Powiatowe w Limanowej","Sesja.pl","automatyczne dodawanie napisów (transkrypcja) sesji rady powiatu",
"3445","Starostwo Powiatowe w Limanowej","Multipark Dejw","odczyt tablic rejestracyjnych na parkingu, który znajduje się na nieruchomości powiatu",
"3447","Starostwo Powiatowe w Lipsku","System Obsługi Rady Powiatu","z zaimplementowaną funkcjonalnością automatycznego generowania napisów do transmisji oraz generowania audiodeskrypcji",
"3452","Starostwo Powiatowe w Lubinie","posiedzenía.pl","generowania automatycznych napisów do wideo. Jest to system do transmisji sesji Rady Powiatu",
"3465","Starostwo Powiatowe w Makowie Mazowieckim",,"rozpoznawanie dźwięku z nagrań zleca firmie zewnętrznej – nie znany jest sposób rozpoznawania.",
"3471","Starostwo Powiatowe w Mikołowie","Voicebot","przetwarza dane ze spraw Wydziału Komunikacji, umawia telefonicznie na odbiór dokumentów",
"3471","Starostwo Powiatowe w Mikołowie","System EDR","(Endpoint Detection and Response) (zaawansowane monitorowanie, wykrywanie i reagowanie na zagrożenia cybernetyczne, gromadzi dane o aktywności systemowej, analizuje je pod kątem nietypowych zachowań, wspiera automatyczne wykrywanie zagrożeń poprzez analizę danych w celu identyfikacji anomalii i wzorców zachowań)",
"3477","Starostwo Powiatowe w Mrągowie","Posiedzenia.pl","do rejestracji sesji rady powiatu oraz przetwarzania mowy na tekst",
"3478","Starostwo Powiatowe w Myszkowie",,"wykonawca na podstawie umowy generuje napisy do zarejestrowanych nagrań z sesji Rady Powiatu.",
"3487","Starostwo Powiatowe w Nowym Mieście Lubawskim","beey.io","do rozpoznawania mowy na tekst i sporządzania transkrypcji nagrań z sesji Rady Powiatu",
"3487","Starostwo Powiatowe w Nowym Mieście Lubawskim","ChatGPT, GeminiAI, PerplexityAI i inne",,"testowane w wersjach darmowych"
"3490","Starostwo Powiatowe w Nowym Targu","Chatbot Wiki","pomaga w przeszukiwaniu zasobów strony www",
"3490","Starostwo Powiatowe w Nowym Targu",,," trwają zintensyfikowane prace nad implementacją systemów automatycznie przetwarzających dane, poczynając od systemów geodezyjnych"
"3504","Starostwo Powiatowe w Ostrołęce","eXtracToolbox","obejmuje narzędzia wykorzystujące sztuczną inteligencję (AI) oraz uczenie maszynowe (ML) do wspomagania automatyzacji procesu aktualizacji bazy danych ewidencji gruntów i budynków.","Oprogramowanie to składa się z następujących elementów: usługa eXtracToolbox (przyjmuje pliki PDF, np. akty notarialne, i dokonuje ekstrakcji informacji zapisywanych w formacie tekstowym), aplikacja Autoclick (wspomaga wprowadzanie danych do systemów docelowych poprzez automatyczne uzupełnianie pól formularzy) oraz klient usługi eXtracToolbox (umożliwia monitorowanie wskazanego folderu pod kątem pojawiających się plików PDF). Dodatkowo, wykorzystywana jest usługa anonimizacji dokumentów, umożliwiająca automatyczne usuwanie lub maskowanie wybranych informacji zawartych w dokumentach PDF."
"3511","Starostwo Powiatowe w Otwocku","Capcut","do montowania krótkich form wideo do mediów społecznościowych ",
"3511","Starostwo Powiatowe w Otwocku","ChatGPT","do redakcji prostych komunikatów do mediów społecznościowych",
"3539","Starostwo Powiatowe w Raciborzu","eHelpdesk","chatbot oparty na AI. Chatbot ten został skonfigurowany do udzielania automatycznych odpowiedzi na pytania użytkowników w zakresie obsługi zgłoszeń IT. ",
"3541","Starostwo Powiatowe w Radomsku","ABBYY PDF Transformer+","oprogramowanie do rozpoznawania tekstu",
"3541","Starostwo Powiatowe w Radomsku","dedykowane oprogramowanie producenta skanerów","oprogramowanie do rozpoznawania tekstu",
"3542","Starostwo Powiatowe w Radziejowie","Groszek, Bestia, Kadry i Płace","systemy analizujące dane w celu wspomagania decyzji",
"3542","Starostwo Powiatowe w Radziejowie","beey.io"," do rozpoznawania tekstu",
"3565","Starostwo Powiatowe w Sokołowie Podlaskim","eSesja","posiada funkcję generowania protokołów z posiedzeń sesji z wykorzystaniem AI",
"3578","Starostwo Powiatowe w Suwałkach",,"automatyczną transkrypcję zanonimizowanych nagrań z posiedzeń Sesji Rady Powiatu","EUROALPHABET.EU sp. z o.o."
"3583","Starostwo Powiatowe w Szydłowcu","transmisjaobrad.info","funkcjonalności transkrypcji",
"3609","Starostwo Powiatowe w Węgorzewie",,"systemy informatyczne do rozpoznawania mowy z nagrań Sesji Rady Powiatu",
"3625","Starostwo Powiatowe w Wyszkowie","eSesja","w związku z tworzeniem napisów do nagrań z obrad","MWC Sp. z o.o."
"3640","Starostwo Powiatowe w Żurominie",,"przetwarzania mowy na tekst z transmisji wideo z obrad Sesji Rady Powiatu",
"3961","Wojewódzki Szpital Zespolony im.L.Rydygiera w Toruniu","Siemens Syngovia","w zakresie diagnostyki obrazowej. Pełnią one rolę wspomagającą lekarzy w procesie interpretacji niektórych grup badań. ",
"3961","Wojewódzki Szpital Zespolony im.L.Rydygiera w Toruniu","PIXEL AI","w zakresie diagnostyki obrazowej. Pełnią one rolę wspomagającą lekarzy w procesie interpretacji niektórych grup badań.",
"4453","WOJEWÓDZKI SPECJALISTYCZNY SZPITAL DZIECIĘCY IM. PROF. DR STANISŁAWA POPOWSKIEGO W OLSZTYNIE","Siemens Magnetom Altea","system zastosowany w urządzeniu Siemens Magnetom Altea, wykorzystywanym w diagnostyce obrazowej. Urządzenie to zawiera moduły oparte na algorytmach sztucznej inteligencji, wspomagające przetwarzanie i analizę obrazów medycznych. Stosowane techniki z rodziny Deep Resolve to: Deep Resolve Gain (poprawa jakości obrazu poprzez zwiększenie współczynnika sygnał-szum), Deep Resolve Sharp (zwiększenie ostrości i rozdzielczości obrazów) oraz Deep Resolve Boost (znaczące skrócenie czasu trwania badania obrazowego). ",
"4489","SZPITAL POWIATOWY IM. JANA PAWŁA II W TRZCIANCE",,"system rozpoznawania patologii na radiologicznych obrazach diagnostycznych",
"4517","SPECJALISTYCZNY ZESPÓŁ OPIEKI ZDROWOTNEJ NAD MATKĄ I DZIECKIEM W POZNANIU","Cloud Medical VoiceBot","system wykorzystywany do rejestracji pacjenta",
"4517","SPECJALISTYCZNY ZESPÓŁ OPIEKI ZDROWOTNEJ NAD MATKĄ I DZIECKIEM W POZNANIU","Glamer BoneView","aplikacja służąca do automatycznego wykrywania anomalii na standardowych zdjęciach rentgenowskich",
"4621","SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W POZNANIU IM. PROF. LUDWIKA BIERKOWSKIEGO","Radpoint Platform RIS/PACS","wykorzystywane są algorytmy w zakresie: TK głowy pod kątem udaru, TK klatki piersiowej pod kątem guzków, RTG klatki piersiowej, jako systemy analizujące dane w celu wspomagania decyzji diagnostycznych",
"5414","Ministerstwo Sprawiedliwości","Microsoft 365 Copilot",,
"5417","Ministerstwo Obrony Narodowej",," Urząd MON korzysta z systemów wykorzystujących biometrię i technologię rozpoznawania twarzy na potrzeby systemów o różnych klauzulach niejawności. ",
"5417","Ministerstwo Obrony Narodowej",,"W Dowództwie Komponentu Wojsk Obrony Cyberprzestrzeni (DKWOC) wykorzystywane są różne modele AI do realizacji zadań, w tym np. do analizy obrazów satelitarnych czy przetwarzania tekstu.",
"5417","Ministerstwo Obrony Narodowej",,"Rozwiązania AI stosowane są w wielu obszarach i systemach, o różnych klauzulach niejawności.",
"5417","Ministerstwo Obrony Narodowej","W Wojsku Polskim powstaje Centrum Implementacji Sztucznej Inteligencji, które zostanie utworzone w ramach Dowództwa Komponentu Wojsk Obrony Cyberprzestrzeni. ",,
"5418","Ministerstwo Spraw Zagranicznych",," wdrożono narzędzia korzystające z mechanizmów sztucznej inteligencji do bieżącej pracy w niektórych obszarach, m.in. w zakresie problematyki sankcyjnej.",
"5418","Ministerstwo Spraw Zagranicznych",," Obecnie jest prowadzona analiza potrzeb zastosowania narzędzi AI w celu usprawnienia procesów funkcjonujących w Centrali MSZ oraz placówkach zagranicznych, w tym procesów interakcji z obywatelami RP i interesantami pochodzącymi z państw trzecich oraz podniesienia efektywności pracy.",
"5423","Ministerstwo Cyfryzacji",,,"Ministerstwo Cyfryzacji jako pierwsze testowało rodzinę modeli PLLuM (Polish Large Language Universal Model) jeszcze w fazie ich tworzenia w IV kwartale 2024 r. Rodzina modeli PLLuM powstała w 2024 r. ze środków publicznych i na jej bazie będą tworzone narzędzia AI. Ministerstwo planuje wdrożyć te modele w postaci inteligentnego asystenta urzędniczego. Inteligentny asystent urzędniczy ma powstać do końca 2025 r. i będzie wspierał urzędników w przygotowaniu prostych odpowiedzi na powtarzające się pytania, w redakcji dłuższych wypowiedzi i w analizie tekstu, a także prowadził przez procedury obowiązujące w urzędach."
"5426","Ministerstwo Spraw Wewnętrznych i Administracji",,,"systemy poligraficzne oraz systemy informatyczne służące do realizacji zadań związanych z cyberbezpieczeństwem. Mogą być w nich wykorzystywane pewne lokalne funkcje zawierające elementy uczenia maszynowego, służące do automatycznego rozpoznawania i klasyfikacji wzorców oraz obiektów danych np. zdarzeń bezpieczeństwa na podstawie logów systemowych. Systemy te nie są jednak systemami AI w potocznym rozumieniu tzw. generatywnej sztucznej inteligencji. "
"5429","Ministerstwo Klimatu i Środowiska","Elektroniczne Zarządzanie Dokumentacją (EZD)","Posiada moduł do anonimizacji danych osobowych na dokumentach PDF, który wykorzystuje AI (zgodnie z informacją od dostawcy: Podlaski Urząd Wojewódzki (PUW) oraz NASK).","Narzędzie jest obecnie w fazie testów i nie zostało udostępnione pracownikom.  "
"5429","Ministerstwo Klimatu i Środowiska","Microsoft Office 365 Copilot","analizy tekstów, sporządzania streszczeń, generowania podpowiedzi na zapytania kontekstowe (w tym wyszukiwanie przepisów prawa i aktów normatywnych), transkrypcji, dyktowania, tworzenia prezentacji, tworzenia podsumowań, raportów oraz roboczych tłumaczeń. ","Ministerstwo posiada licencje Copilot Std (w ramach Office 365) oraz 50 licencji Copilot AI Pro, używanych obecnie przez ok. 30 pracowników (ok. 2,9% ogółu)."
"5429","Ministerstwo Klimatu i Środowiska","Translatory (np. DeepL)","Wykorzystywane przez pracowników do pracy z treściami w językach obcych. Wyniki traktowane są jako elementy pomocnicze, mające na celu usprawnienie realizacji prostych zadań i podlegają weryfikacji merytorycznej.  ",
"5429","Ministerstwo Klimatu i Środowiska","Chat","oparty na projekcie Polish Large Language Model (PLLuM):** Promowany przez Ministerstwo Cyfryzacji, wykorzystywany do wsparcia w zakresie roboczej korekty tekstów. Wyniki traktowane są jako elementy pomocnicze, mające na celu usprawnienie realizacji prostych zadań i podlegają weryfikacji merytorycznej.  ",
"5429","Ministerstwo Klimatu i Środowiska","Narzędzia oparte na sztucznych sieciach neuronowych","Wykorzystywane w pracach analitycznych, umożliwiające np. identyfikację statystycznych zależności w danych środowiskowych",
"5429","Ministerstwo Klimatu i Środowiska","ChatGPT","wyszukiwanie, generowanie podsumowań  ",
"5429","Ministerstwo Klimatu i Środowiska","Canva Magic Design","generowanie grafik",
"5429","Ministerstwo Klimatu i Środowiska","TurboScrbe","generowanie tłumaczeń",
"5429","Ministerstwo Klimatu i Środowiska","Google Gemini","wyszukiwanie",
"5429","Ministerstwo Klimatu i Środowiska","Galaxy AI","generowanie podsumowań, edycja grafiki ",
"5429","Ministerstwo Klimatu i Środowiska","Napkin AI","wizualizacja tekstu",
"5429","Ministerstwo Klimatu i Środowiska","Testportal","System oparty na sztucznej inteligencji, wykorzystywany do generowania pytań do testów selekcyjnych w procesie rekrutacji do pracy w Ministerstwie na podstawie dostarczonych materiałów źródłowych.",
"5430","Ministerstwo Rozwoju i Technologii","Wirtualny Urzędnik"," w ramach Call center dla przedsiębiorców tj. Centrum Pomocy Przedsiębiorcy w serwisie Biznes.gov.pl wykorzystuje model NLP (Natural Language Processing) będący gałęzią AI. Model NLP jest wykorzystywany w komunikacji w ramach Wirtualnego Urzędnika (WU), inaczej AI Chatbot (lub Chatbot), który jest systemem informatycznym zdolnym do semantycznej analizy pytań tekstowych, wykorzystującym analizę języka naturalnego NLP ML AI, interpretującym i udostępniającym odpowiedzi na dane zapytania, prowadzącym interakcje w postaci tekstu i głosu, udzielającym odpowiedzi na podstawie zagadnień zgromadzonych w Bazie Wiedzy, w języku polskim i angielskim. Funkcjonalność WU zapewnia zautomatyzowane odpowiedzi na dane zapytania w trybie 24/7/365. WU potrafi przetwarzać naturalny język ludzki, czyli potoczny sposób zapytania, zaś dyskutując z użytkownikiem używa tekstu pisanego lub komunikacji głosowej. Aktualnie są prowadzone testy najnowszych algorytmów generatywnego AI w postaci LLM i RAG, które zwiększą płynność działania konwersacji, działają atrakcyjniej, zwiększając wolumen zapytań do WU.",
