FEDR_id,CASE_id,CASE_url,Nazwa,Typ,Województwo,Powiat,Czy wydaje media,Lista mediów
3411,85090,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-95,Starostwo Powiatowe w Kazimierzy Wielkiej,starostwo powiatowe,świętokrzyskie,kazimierski,FAŁSZ,
3415,85094,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-99,Starostwo Powiatowe w Kielcach,starostwo powiatowe,świętokrzyskie,kielecki,PRAWDA,"""Kalejdoskop Powiatu Kieleckiego"",""Czasopismo"",""Starostwo Powiatowe w Kielcach- Biuro informacji i promocji"",""grudzień 2009"",""styczeń 2024"",""https://www.powiat.kielce.pl/dla-mediow/kalejdoskop"""
3416,85095,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-100,Starostwo Powiatowe w Kluczborku,starostwo powiatowe,opolskie,kluczborski,FAŁSZ,
3420,85100,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-105,Starostwo Powiatowe w Kolnie,starostwo powiatowe,podlaskie,kolneński,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Powiat Kolneński"",""Strona internetowa"",""Starostwo Powiatowe w Kolnie"",""istnieje już ponad 20 lat"",""aktualnie używane"",""powiatkolno.pl""
""Powiat Kolneński"",""Profil na Facebooku"",""Starostwo Powiatowe w Kolnie"",""od 2019 roku"",""aktualnie używane"",""https://www.facebook.com/StarostwoPowiatoweKolno/"""
3421,85099,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-104,Starostwo Powiatowe w Kole,starostwo powiatowe,wielkopolskie,kolski,FAŁSZ,
3423,85103,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-108,Starostwo Powiatowe w Końskich,starostwo powiatowe,świętokrzyskie,konecki,,
3426,85105,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-110,Starostwo Powiatowe w Kościanie,starostwo powiatowe,wielkopolskie,kościański,FAŁSZ,
3427,85106,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-111,Starostwo Powiatowe w Kościerzynie,starostwo powiatowe,pomorskie,kościerski,FAŁSZ,
3428,85107,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-112,Starostwo Powiatowe w Kozienicach,starostwo powiatowe,mazowieckie,kozienicki,PRAWDA,"tytul,typ,prowadzacy,data_od,data_do,linki
""TV „Nasz Powiat”"",""telewizja"",""Starostwo Powiatowe w Kozienicach/Powiat Kozienicki"",""04.11.2004 r."","""",""https://kozienicepowiat.pl/tv-nasz-powiat.html, https://www.youtube.com/@powiatkozienice""
""Biuletyn Informacyjny Starostwa Powiatowego w Kozienicach „Nasz Powiat”"",""biuletyn informacyjny"",""Starostwo Powiatowe w Kozienicach/Powiat Kozienicki"",""czerwiec 2003 r."","""",""https://kozienicepowiat.pl/biuletyn-nasz-powiat.html"""
3431,85111,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-116,Starostwo Powiatowe w Kraśniku,starostwo powiatowe,lubelskie,kraśnicki,PRAWDA,"""Panorama Powiatu Kraśnickiego"",""gazeta"",""Wydział Promocji Starostwa Powiatowego w Kraśniku"",""2015"","""",""https://samorzad.gov.pl"""
3435,85114,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-119,Starostwo Powiatowe w Krotoszynie,starostwo powiatowe,wielkopolskie,krotoszyński,FAŁSZ,
3436,85115,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-120,Starostwo Powiatowe w Kutnie,starostwo powiatowe,łódzkie,kutnowski,FAŁSZ,
3438,85117,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-122,Starostwo Powiatowe w Legionowie,starostwo powiatowe,mazowieckie,legionowski,PRAWDA,"""Kurier. Informator Powiatu Legionowskiego"",""gazeta"",""Starostwo Powiatowe w Legionowie"",""2007"","""",https://powiat-legionowski.pl/kurier"
3439,85118,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-123,Starostwo Powiatowe w Legnicy,starostwo powiatowe,dolnośląskie,legnicki,FAŁSZ,
3441,85120,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-125,Starostwo Powiatowe w Lesznie,starostwo powiatowe,wielkopolskie,leszczyński,FAŁSZ,"""tytul"",""typ"",""prowadzacy"",""data_od"",""data_do"",""linki""
""Strona internetowa Powiatu Leszczyńskiego"",""inne - strona internetowa"",""Powiat Leszczyński"",""grudzień 2015"","""",""https://www.powiat-leszczynski.pl/""
""Powiat Leszczyński | Facebook"",""inne - profil na Facebooku"",""Powiat Leszczyński"",""styczeń 2016"","""",""""
""Profil na Instagramie"",""inne - profil na Instagramie"",""Powiat Leszczyński"",""kwiecień 2020"","""",""https://www.instagram.com/powiat.leszczynski/"""
3442,85121,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-126,Starostwo Powiatowe w Leżajsku,starostwo powiatowe,podkarpackie,leżajski,PRAWDA,"""Kurier Powiatowy"",""miesięcznik"",""Starostwo Powiatowe w Leżajsku"",""2000"","""",""https://www.starostwo.lezajsk.pl/kurier-powiatowy/#Kurier"""
3445,85124,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-129,Starostwo Powiatowe w Limanowej,starostwo powiatowe,małopolskie,limanowski,PRAWDA,"""Wiadomości z Powiatu"",""Gazeta"",""Wydział Promocji, Kultury i Turystyki"",""2009"",,
"
3447,85126,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-131,Starostwo Powiatowe w Lipsku,starostwo powiatowe,mazowieckie,lipski,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Powiat Lipski gov.pl"",""strona internetowa gov.pl"",""Starostwo Powiatowe w Lipsku (w 2023 Referat Promocji i Rozwoju, w 2024 Wydział Edukacji Kultury, Sportu i Promocji)"",""od roku 2022"",""jest prowadzone nadal"",""https://samorzad.gov.pl/web/powiat-lipski""
""profil facebookowy Starostwo Powiatowe w Lipsku"",""profil facebookowy"",""Starostwo Powiatowe w Lipsku (w 2023 Referoc Promocji i Rozwoju, w 2024 Wydział Edukacji Kultury, Sportu i Promocji)"",""od roku 2019"",""jest prowadzone nadal"",""https://www.facebook.com/profile.php?id=100067324745652"""
3452,85130,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-135,Starostwo Powiatowe w Lubinie,starostwo powiatowe,dolnośląskie,lubiński,FAŁSZ,
3454,85133,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-138,Starostwo Powiatowe w Lwówku Śląskim,starostwo powiatowe,dolnośląskie,lwówecki,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Strona internetowa Powiatu Lwóweckiego"",""Strona internetowa"",""Starostwo Powiatowe w Lwówku Śląskim"",""2020-04-23"",,""www.powiatlwowecki.pl""
""Biuletyn Informacji Publicznej Powiatu Lwóweckiego"",""Biuletyn Informacji Publicznej"",""Starostwo Powiatowe w Lwówku Śląskim"",""2010-08-08"",,""bip.powiatlwowecki.pl""
""Profil Facebook"",""profil w mediach społecznościowych"",""Starostwo Powiatowe w Lwówku Śląskim"",""2011-12-05"",,""facebook.com/powiatdlw"""
3456,85135,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-140,Starostwo Powiatowe w Łasku,starostwo powiatowe,łódzkie,łaski,PRAWDA,"""Gazeta Powiatu Łaskiego"",""biuletyn informacyjny powiatu łaskiego / kwartalnik"",""Powiat Łaski / Starostwo Powiatowe w Łasku"",""2021"","""",""https://lask.com.pl/asp/gazeta-powiatu-laskiego,93,,1"""
3457,85137,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-142,Starostwo Powiatowe w Łęczycy,starostwo powiatowe,łódzkie,łęczycki,FAŁSZ,"""BIULETYN SAMORZĄDU POWIATU ŁĘCZYCKIEGO"",""biuletyn informacyjny"",""Starostwo Powiatowe w Łęczycy – Pracownicy Wydziału Promocji, Kultury i Sportu"",""2023"",""2024"",""""
""Serwis społecznościowy Facebook"",""serwis społecznościowy"",""Starostwo Powiatowe w Łęczycy – Pracownicy Wydziału Promocji, Kultury i Sportu"","""","""",""https://www.facebook.com/profile.php?id=100063585518329""
""Serwis społecznościowy Instagram"",""serwis społecznościowy"",""Starostwo Powiatowe w Łęczycy – Pracownicy Wydziału Promocji, Kultury i Sportu"","""","""",""https://tiny.pl/h_bb78p5""
""Serwis internetowy YouTube (transmisja Sesji Powiatu)"",""serwis internetowy"",""Starostwo Powiatowe w Łęczycy – Pracownicy Wydziału Promocji, Kultury i Sportu"","""","""",""https://www.youtube.com/@starostwoeczyca613/featured""
""Strona internetowa Starostwa Powiatowego w Łęczycy"",""strona internetowa"",""Starostwo Powiatowe w Łęczycy – Pracownicy Wydziału Promocji, Kultury i Sportu"","""","""",""https://www.leczycki.pl/"""
3460,85140,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-145,Starostwo Powiatowe w Łomży,starostwo powiatowe,podlaskie,łomżyński,FAŁSZ,
3464,85143,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-148,Starostwo Powiatowe w Łukowie,starostwo powiatowe,lubelskie,łukowski,FAŁSZ,
3470,85149,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-154,Starostwo Powiatowe w Międzyrzeczu,starostwo powiatowe,lubuskie,międzyrzecki,FAŁSZ,"""Powiat Międzyrzecki (Aktywny profil FB)"",""Media społecznościowe"",""Starostwo Powiatowe w Międzyrzeczu"",""2019-05-06"","""",""https://www.facebook.com/powiatmiedzyrzeckipl""
""Starostwo Powiatowe Międzyrzecz (Nieaktywny profil FB)"",""Media społecznościowe"",""Starostwo Powiatowe w Międzyrzeczu"",""2012-04-07"","""",""https://www.facebook.com/StarostwoPowiatoweMiedzwzecz""
""PCPR Międzyrzecz (FB)"",""Media społecznościowe"",""Powiatowe Centrum Pomocy Rodzinie w Międzyrzeczu"","""","""",""https://www.facebook.com/profile.php?id=61561660970781""
""LO Międzyrzecz (FB)"",""Media społecznościowe"",""Liceum Ogólnokształcące w Międzyrzeczu"","""","""",""https://www.facebook.com/lomiedzyrzecz""
""CKZiU Międzyrzecz (FB)"",""Media społecznościowe"",""Centrum Kształcenia Zawodowego i Ustawicznego w Międzyrzeczu"","""","""",""https://www.facebook.com/ckzumiedzyrzecz""
""Ekonomik Międzyrzecz (FB)"",""Media społecznościowe"","""","""","""",""https://www.facebook.com/ekonomikmiedzyrzecz""
""Facebook profile 100064071220581"",""Media społecznościowe"","""","""","""",""https://www.facebook.com/profile.php?id=100064071220581""
""Facebook profile 100057671400417"",""Media społecznościowe"","""","""","""",""https://www.facebook.com/profile.php?id=100057671400417""
""Facebook profile 100057404321193"",""Media społecznościowe"","""","""","""",""https://www.facebook.com/profile.php?id=100057404321193""
""Dom Dziecka Skwierzyna (FB)"",""Media społecznościowe"",""Zespół Obsługi Placówek Opiekuńczo-Wychowawczych w Skwierzynie"","""","""",""https://www.facebook.com/DomDzieckawSkwierzynie""
""DPS Międzyrzecz (FB)"",""Media społecznościowe"",""Dom Pomocy Społecznej w Międzyrzeczu"","""","""",""https://www.facebook.com/dps.miedzyrzecz""
""DPS Jasieniec (FB)"",""Media społecznościowe"",""Dom Pomocy Społecznej w Jasieńcu"","""","""",""https://www.facebook.com/dps.lesnapolana""
""Facebook profile 100041724170671"",""Media społecznościowe"","""","""","""",""https://www.facebook.com/profile.php?id=100041724170671""
""Dom Rokitno (FB)"",""Media społecznościowe"",""Dom Pomocy Społecznej w Rokitnie"","""","""",""https://www.facebook.com/domrokitno""
""DPS Skwierzyna (FB)"",""Media społecznościowe"",""Dom Pomocy Społecznej w Skwierzynie"","""","""",""https://www.facebook.com/DPS.Skwierzyna""
""POW Skwierzyna (FB)"",""Media społecznościowe"",""Powiatowy Ośrodek Wsparcia w Skwierzynie"","""","""",""https://www.facebook.com/profile.php?id=100064642453248""
""Szpital Międzyrzecki (FB)"",""Media społecznościowe"",""Szpital Międzyrzecki Sp. z o.o. w Międzyrzeczu"","""","""",""https://www.facebook.com/szpitalmiedzyrzecki""
""Muzeum Ziemi Międzyrzeckiej (FB)"",""Media społecznościowe"",""Muzeum Ziemi Międzyrzeckiej w Międzyrzeczu"","""","""",""https://www.facebook.com/search/top?q=muzeum%20ziemi%20mi%C4%99dzyrzeckiej%20im.%20alfa%20kowalskiego""
""Powiat Międzyrzecki (WWW)"",""Strona internetowa"",""Starostwo Powiatowe w Międzyrzeczu"","""","""",""https://www.powiat-miedzyzecki.pl/""
""PUP Międzyrzecz (WWW)"",""Strona internetowa"",""Powiatowy Urząd Pracy w Międzyrzeczu"","""","""",""https://miedzyrzecz.praca.gov.pl/""
""LO Międzyrzecz (WWW)"",""Strona internetowa"",""Liceum Ogólnokształcące w Międzyrzeczu"","""","""",""https://lo-miedzyrzecz.edupage.org/""
""CKZiU Międzyrzecz (WWW)"",""Strona internetowa"",""Centrum Kształcenia Zawodowego i Ustawicznego w Międzyrzeczu"","""","""",""https://ckzumiedzyrzecz.com/""
""PPP Międzyrzecz (WWW)"",""Strona internetowa"",""Poradnia Psychologiczno-Pedagogiczna w Międzyrzeczu"","""","""",""https://www.ppp-miedzyrzecz.pl/""
""PPP Skwierzyna (WWW)"",""Strona internetowa"",""Poradnia Psychologiczno-Pedagogiczna w Skwierzynie"","""","""",""http://www.ppp-skwierzyna.pl/""
""DPS Jasieniec (WWW)"",""Strona internetowa"",""Dom Pomocy Społecznej w Jasieńcu"","""","""",""https://dpsjasieniec.pl/""
""DPS Międzyrzecz (BIP WWW)"",""Strona internetowa"",""Dom Pomocy Społecznej w Międzyrzeczu"","""","""",""https://miedzyrzeczdps.bip.net.pl/""
""Szpital Międzyrzecki (WWW)"",""Strona internetowa"",""Szpital Międzyrzecki Sp. z o.o. w Międzyrzeczu"","""","""",""https://szpitalmiedzyrzecz.pl/""
""Muzeum Ziemi Międzyrzeckiej (WWW)"",""Strona internetowa"",""Muzeum Ziemi Międzyrzeckiej w Międzyrzeczu"","""","""",""https://muzeum.miedzyrzecz.pl/"""
3472,85151,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-156,Starostwo Powiatowe w Miliczu,starostwo powiatowe,dolnośląskie,milicki,FAŁSZ,"""tytul"",""typ"",""prowadzacy"",""data_od"",""data_do"",""linki""
""Strona Facebook"",""profil społecznościowy"",""Starostwo Powiatowe w Miliczu"",""14.02.2019"","""",""https://www.facebook.com/p/Powiat-Milicki""
""Witryna powiat milicki"",""Witryna internetowa"",""Starostwo Powiatowe"",""Nieokreślona"","""",""www.powiatmilicki.pl""
""strona Facebook"",""profil społecznościowy"",""Zespół Szkół im. T. Kościuszki w Miliczu"",""25.03.2014"","""",""http://facebook.com/ZSwMilliczu""
""Witryna zsmilicz"",""Witryna internetowa"",""Zespół Szkół im. T. Kościuszki w Miliczu"",""25.03.2014"","""",""www.zsmilicz.com""
""I Liceum Ogólnokształcące im. Armii Krajowej w Miliczu"",""profil społecznościowy"",""I Liceum Ogólnokształcące im. Armii Krajowej w Miliczu"",""21.02.2010"","""",""http://facebook.com/ILOwMiliczu""
""Witryna LO1Milicz"",""Witryna internetowa"",""I Liceum Ogólnokształcące im. Armii Krajowej w Miliczu"",""nieokreślona"","""",""www.lo1milicz.pl""
""Strona Facebook"",""Profil społecznościowy"",""Specjalny Ośrodek Szkolno-wychowawczy w Miliczu"",""25.06.2012"","""",""http://facebook.com/SOSWMilicz""
""Witryna SOSWmilicz"",""Witryna internetowa"",""Specjalny Ośrodek Szkolno-wychowawczy w Miliczu"",""2009"","""",""www.soswmilicz.pl""
""Strona Facebook"",""Profil społecznościowy"",""Powiatowe Centrum Edukacyjne i Psychologiczno-pedagogiczne w Miliczu"",""29.01.2014"","""",""http://facebook.com/PCEIPPwMiliczu""
""Witryna PCEIPPwMiliczu"",""Witryna internetowa"",""Powiatowe Centrum Edukacyjne i Psychologiczno-pedagogiczne w Miliczu"",""Nieokreślona"","""",""www.pceipp.pl""
""Strona facebook"",""Profil społecznościowy"",""Powiatowe Centrum Pomocy Rodzinie"",""2.01.2022"","""",""http://facebook.com/profile.php?id=100076555427498""
""Witryna pcpmilicz"",""Witryna internetowa"",""Powiatowe Centrum Pomocy Rodzinie w Miliczu"",""Nieokreślona"","""",""www.pcprmilicz.pl""
""Witryna dpsmilicz"",""Profil społecznościowy"",""Dom Pomocy Spotecznej w Miliczu"",""2013"","""",""www.dpsmilicz.pl""
""Witryna dpskrośnice"",""Witryna internetowa"",""Dom Pomocy Społecznej w Krośnicach"",""2007"","""",""www.dpskrośnice.pl""
""Strona facebook"",""Profil społecznościowy"",""Powiatowy Urząd Pracy w Miliczu"",""28.06.2023"","""",""https://facebook/pupmilicz""
""Witryna PUPwMiliczu"",""Witryna internetowa"",""Powiatowy Urząd Pracy w Miliczu"",""Nieokreślona"","""",""www.milicz.praca.gov.pl"""
3473,85152,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-157,Starostwo Powiatowe w Mińsku Mazowieckim,starostwo powiatowe,mazowieckie,miński,FAŁSZ,
3474,85153,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-158,Starostwo Powiatowe w Mławie,starostwo powiatowe,mazowieckie,mławski,PRAWDA,"""Kwartalnik Mławski Świat Pracy"",""biuletyn informacyjny"",""Powiatowy Urząd Pracy w Mławie"",""styczeń 2013"","""",https://mlawa.praca.gov.pl/kwartalnik-mlawski-swiat-pracy"
3477,85156,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-161,Starostwo Powiatowe w Mrągowie,starostwo powiatowe,warmińsko-mazurskie,mrągowski,FAŁSZ,"""tytul"",""typ"",""prowadzacy"",""data_od"",""data_do"",""linki""
""Powiat Mrągowski"",""profil na platformie społecznościowej Facebook"",""Starostwo Powiatowe w Mrągowie"",""wrzesień 2010 r."","""",""https://www.facebook.com/powiatmragowo""
""www.powiat.mragowo.pl"",""strona internetowa"",""Starostwo Powiatowe w Mrągowie"",""marzec 2000 r."","""",""www.powiat.mragowo.pl"""
3478,85157,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-162,Starostwo Powiatowe w Myszkowie,starostwo powiatowe,śląskie,myszkowski,FAŁSZ,"""Strona internetowa"",""Strona internetowa"",""Starostwo Powiatowe w Myszkowie"","""","""",""www.powiatmyszkowski.pl""
""Facebook"",""Media społecznościowe"",""Starostwo Powiatowe w Myszkowie"","""","""","""""
3481,85160,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-165,Starostwo Powiatowe w Nakle nad Notecią,starostwo powiatowe,kujawsko-pomorskie,nakielski,FAŁSZ,
3484,85163,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-168,Starostwo Powiatowe w Nisku,starostwo powiatowe,podkarpackie,niżański,PRAWDA,"""Biuletyn Samorządowy Powiatu Niżańskiego"",""Biuletyn informacyjny"",""Zarząd Powiatu Niżańskiego"",""2015"","""",https://powiatnizanski.pl/aktualnosci/5253-ukazal-sie-nowy-biuletyn-samorzadowy-powiatunizanskiego-wydanie-podsumowujace-vi-kadencie-rady-i-zarzadu-powiatu-nizanskiego-szanownipanstwo?hight=WyJiaXVsZXR5bilsInNhbW9yelx1MDEwNWRvd3kiLCJwb3dpYXR1liwiYml1bGV0eW 4Ec2Ftb3J6YWRvd3kiLCJiaXVsZXR5biBzYW1vcnphZG93eSBwb3dDYXR1Iiwic2Ftb3J6YWRvd3kFcG93aW FOdSJd"
3486,85165,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-170,Starostwo Powiatowe w Nowym Dworze Gdańskim,starostwo powiatowe,pomorskie,nowodworski,FAŁSZ,"""Biuletyn Informacji Publicznej Starostwa Powiatowego w Nowym Dworze Gdańskim"",""biuletyn informacyjny"",""Starostwo Powiatowe w Nowym Dworze Gdańskim"",""21.12.2017"","""",""https://www.bip.nowydworgdanski.pl/""
""Facebook"",""social media"",""Starostwo Powiatowe w Nowym Dworze Gdańskim"",""01.09.2006"","""",""https://www.facebook.com/powiatndg""
""Strona Internetowa"",""strona www"",""Starostwo Powiatowe w Nowym Dworze Gdańskim"",""01.09.2006"","""",""https://www.nowydworgdanski.pl/""
""Strona Internetowa"",""strona www"",""Zespół Szkół w Nowym Dworze Gdańskim"","""","""",""http://zsndg.edu.pl/""
""Instagram"",""social media"",""Zespół Szkół w Nowym Dworze Gdańskim"","""","""",""https://www.instagram.com/EZSpusz/""
""TIK TOK"",""social media"",""Zespół Szkół w Nowym Dworze Gdańskim"",""01.01.2022"","""",""""
""Facebook"",""social media"",""Zespół Szkół w Nowym Dworze Gdańskim"",""01.01.2012"","""",""https://www.facebook.com/zsndg""
""Facebook"",""social media"",""Powiatowe Centrum Pomocy Rodzinie w Nowym Dworze Gdańskim"","""","""",""""
""Facebook"",""social media"",""Powiatowy Urząd Pracy w Nowym Dworze Gdańskim"","""","""",""""
""Biuletyn Informacji Publicznej"",""biuletyn informacyjny"",""Ośrodek Szkolno-Wychowawczy Specjalny w Nowym Dworze Gdańskim"","""","""",""""
""Strona WWW"",""strona www"",""Ośrodek Szkolno-Wychowawczy Specjalny w Nowym Dworze Gdańskim"",""02.02.2002"","""",""""
""Facebook"",""social media"",""Ośrodek Szkolno-Wychowawczy Specjalny w Nowym Dworze Gdańskim"",""19.11.2024"","""",""https://www.facebook.com/profile.php?id=6082998080551""
""Biuletyn Informacji Publicznej"",""biuletyn informacyjny"",""Dom Pomocy Społecznej Mors w Stegnie"","""","""",""""
""Facebook"",""social media"",""Liceum Ogólnokształcące im. Ziemi Zuławskiej w Nowym Dworze Gdańskim"",""25.01.2012"","""",""https://www.facebook.com/zslndg""
""Biuletyn Informacji Publicznej"",""biuletyn informacyjny"",""Liceum Ogólnokształcące im. Ziemi Zuławskiej w Nowym Dworze Gdańskim"",""01.01.2025"","""",""http://www.zslndg.cal24.pl/bip/""
""Strona Internetowa"",""strona www"",""Liceum Ogólnokształcące im. Ziemi Zuławskiej w Nowym Dworze Gdańskim"",""01.01.2000"","""",""https://www.zslndg.edu.pl/""
""Strona Internetowa Poradni Psychologiczno-Pedagogicznej"",""strona www"",""Poradnia Psychologiczno-Pedagogiczna w Nowym Dworze Gdańskim"",""24.05.2018"","""",""http://www.pppndg.pl/druki.html""
""Biuletyn Informacji Publicznej"",""biuletyn informacyjny"",""Poradnia Psychologiczno-Pedagogiczna w Nowym Dworze Gdańskim"",""01.01.2020"","""",""https://www.bip.gov.pl/subjects/29344,Poradnia+Psychologiczno-Pedagogiczna.html"""
3488,85168,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-173,Starostwo Powiatowe w Nowym Sączu,starostwo powiatowe,małopolskie,nowosądecki,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Facebook"",""media społecznościowe"",""Starostwo Powiatowe w Nowym Sączu"","""","""",""""
""Instagram"",""media społecznościowe"",""Starostwo Powiatowe w Nowym Sączu"","""","""",""""
""You Tube"",""media społecznościowe"",""Starostwo Powiatowe w Nowym Sączu"","""","""",""""
""Powiat Nowosądecki - oficjalny portal"",""strona www"",""Starostwo Powiatowe w Nowym Sączu"","""","""",""www.nowosadecki.pl"""
3491,85170,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-175,Starostwo Powiatowe w Nowym Tomyślu,starostwo powiatowe,wielkopolskie,nowotomyski,PRAWDA,"""Przegląd Powiatu Nowotomyskiego"",""gazeta"",""Starostwo Powiatowe w Nowym Tomyślu"",""styczeń 2010"","""",""https://powiatnowotomyski.pl/PL/836/Przeąlad Powiatu Nowotomyskieąo/"""
3492,85171,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-176,Starostwo Powiatowe w Nysie,starostwo powiatowe,opolskie,nyski,PRAWDA,"""Powiat Nyski Moje Miejsce"",""Biuletyn Informacyjny"",""Starostwo Powiatowe w Nysie"",""2022"",""2024"",""https://powiat.nysa.pl/strona-3367powiat nyski moje miejsce kwartalnik.html"""
3494,85173,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-178,Starostwo Powiatowe w Olecku,starostwo powiatowe,warmińsko-mazurskie,olecki,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""strona internetowa urzędu"",""strona internetowa"",""Starostwo Powiatowe w Olecku"",""grudzień 1999"","""",www.powiat.olecko.pl
""Biuletyn Informacji Publicznej urzędu"",""Biuletyn Informacji Publicznej"",""Starostwo Powiatowe w Olecku"",""czerwiec 2003"","""",www.bip.powiat.olecko.pl
""portal turystyczny Krainy EGO"",""portal turystyczny"",""Starostwo Powiatowe w Olecku"",""kwiecień 2009"","""",www.egoturystyka.pl
""Facebook urzędu"",""media społecznościowe"",""Starostwo Powiatowe w Olecku"",""sierpień 2021"","""",www.facebook.com/StarostwoPowiatoweWOlecku"
3495,85175,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-180,Starostwo Powiatowe w Oleśnie,starostwo powiatowe,opolskie,oleski,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""powiatoleski.pl"",""strona internetowa"",""Starostwo Powiatowe w Oleśnie"",""22 listopada 2021"","""",""https://samorzad.gov.pl/web/powiat-oleski""
""Biuletyn Informacji Publicznej"",""Biuletyn Informacji Publicznej"",""Starostwo Powiatowe w Oleśnie"",""4 kwietnia 2012"","""",""https://bip.powiatoleski.pl/1650/strona-glowna-bip.html""
""Rocznik Powiatu Oleskiego"",""Rocznik"",""Starostwo Powiatowe w Oleśnie"",""2008"","""",""""
""Wydział Zarządzania Kryzysowego, Ratownictwa i Zdrowia SP w Oleśnie"",""Fanpage na Facebooku"",""Wydział Zarządzania Kryzysowego, Ratownictwa i Zdrowia SP w Oleśnie"",""2019"","""",""https://www.facebook.com/WydzialKRZ"""
3497,85176,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-181,Starostwo Powiatowe w Olkuszu,starostwo powiatowe,małopolskie,olkuski,FAŁSZ,"""tytul"",""typ"",""prowadzacy"",""data_od"",""data_do"",""linki""
""Strona internetowa"",""inne - strona internetowa"",""Dom Dziecka """"Dworek Marzeń"""" i Dom Dziecka """"Pomocna Dłoń"""""",""05.2022"","""",""http://dworekmarzen.pl/""
""Facebook"",""inne - Facebook"",""Dom Dziecka """"Dworek Marzeń"""" i Dom Dziecka """"Pomocna Dłoń"""""",""13.04.2020"","""",""https://www.facebook.com/p/Domy-Dziecka-w-Olkuszu-100068493692719/?locale=pl_PL"""
